v_mps,a_deg,b_m,chi,mu,U_max,step_of_Umax,contact_len_s,max_overlap_m,UW_max
0.8,-6.0,0.0,4.0,0.47,0.221040607054933,127400.0,0.0004799999999999,6.458029646273789e-05,0.5945202237702809
0.8,-2.0,0.0,4.0,0.47,0.2226341232847505,127400.0,0.00047,6.485998302099491e-05,0.597961242506406
0.8,2.0,0.0,4.0,0.47,0.2226341232847505,127400.0,0.00047,6.485998302099491e-05,0.597961242506406
0.8,6.0,0.0,4.0,0.47,0.221040607054933,127400.0,0.0004799999999999,6.458029646273789e-05,0.5945202237702809
0.8,10.0,0.0,4.0,0.47,0.2178913227407885,127400.0,0.0004799999999999,6.407132789435638e-05,0.5877146085026926
0.8,14.0,0.0,4.0,0.47,0.2132629584422316,127400.0,0.0004799999999999,6.323728417353264e-05,0.5777002399100973
0.8,18.0,0.0,4.0,0.47,0.2072681492928341,127400.0,0.0004799999999999,6.202956409004715e-05,0.5647028200750973
0.8,22.0,0.0,4.0,0.47,0.2000549712020206,127400.0,0.0004599999999999,6.061999583580405e-05,0.5490258210274724
0.8,26.0,0.0,4.0,0.47,0.1918001376596976,127400.0,0.00047,5.9021793741526746e-05,0.5310286415292061
0.8,30.0,0.0,4.0,0.47,0.1827030122957708,127400.0,0.0004599999999999,5.716468301910846e-05,0.5111140352340382
0.8,34.0,0.0,4.0,0.47,0.172774697866783,127400.0,0.00047,5.5156942986939184e-05,0.4893388476273315
0.8,38.0,0.0,4.0,0.47,0.1621472908483933,127300.0,0.0004599999999999,5.2998456052555376e-05,0.4663049983931748
0.8,42.0,0.0,4.0,0.47,0.1521313977194887,127300.0,0.0004599999999999,5.082120355980741e-05,0.4432247827262688
0.8,46.0,0.0,4.0,0.47,0.1407656536276003,127400.0,0.0004599999999999,4.830673090570892e-05,0.4166534250723185
0.8,50.0,0.0,4.0,0.47,0.0725468480696166,127600.0,0.0004799999999999,3.134596946620383e-05,0.2213955949420224
0.8,54.0,0.0,4.0,0.47,0.0161625807402856,125800.0,0.0001699999999999,1.1710357055619292e-05,0.0498484341141088
0.8,58.0,0.0,4.0,0.47,0.0101738901708918,125500.0,0.0001199999999999,8.697923642796146e-06,0.0313625346769793
0.8,62.0,0.0,4.0,0.47,0.00771782164769,125400.0,0.0001,8.651951525742024e-06,0.0237279564959887
0.8,66.0,0.0,4.0,0.47,0.006635973979252,125200.0,8.999999999999999e-05,8.582609231089222e-06,0.0192729282696962
0.8,70.0,0.0,4.0,0.47,0.0061704856368547,125200.0,7.999999999999999e-05,8.458432314287917e-06,0.0156120245270185
0.8,74.0,0.0,4.0,0.47,0.0,127200.0,0.00035,5.526991833873507e-05,0.5530761697776312
0.8,78.0,0.0,4.0,0.47,0.0,105700.0,0.0003399999999999,5.490462948339048e-05,0.5401849263717899
0.8,82.0,0.0,4.0,0.47,0.0,82600.0,0.00035,5.4545051126030086e-05,0.5268520715909274
0.8,86.0,0.0,4.0,0.47,0.0,57700.0,0.0003399999999999,5.4384196408192864e-05,0.5149839258270611
0.8,90.0,0.0,4.0,0.47,0.0,31200.0,0.0003399999999999,5.423058506356937e-05,0.5024768845318962
0.9,-90.0,0.0,4.0,0.47,0.0,28100.0,0.0003399999999999,5.964056977563609e-05,0.5790089476745669
0.9,-86.0,0.0,4.0,0.47,0.0,51600.0,0.0003399999999999,5.969461276793958e-05,0.5927999615723266
0.9,-82.0,0.0,4.0,0.47,0.0,73700.0,0.0003399999999999,5.985463917831252e-05,0.6067140986978761
0.9,-78.0,0.0,4.0,0.47,0.0,94300.0,0.0003399999999999,6.0284595824938725e-05,0.6220845215934162
0.9,-74.0,0.0,4.0,0.47,0.0,113300.0,0.00033,6.078191040632952e-05,0.63623833460723
0.9,-70.0,0.0,4.0,0.47,0.0071442888501849,111300.0,7e-05,9.293782345914242e-06,0.0179754269923154
0.9,-66.0,0.0,4.0,0.47,0.0076350303181979,111300.0,7.999999999999999e-05,9.416328277195296e-06,0.0220901519018363
0.9,-62.0,0.0,4.0,0.47,0.0088960160836806,111500.0,8.999999999999999e-05,9.529181104001028e-06,0.0273438785083134
0.9,-58.0,0.0,4.0,0.47,0.0117151543919716,111600.0,0.0001199999999999,9.58928318979188e-06,0.0361037174040079
0.9,-54.0,0.0,4.0,0.47,0.018575958593903,111900.0,0.0001599999999999,1.2842053560901262e-05,0.0572656852933658
0.9,-50.0,0.0,4.0,0.47,0.0802572740273395,113600.0,0.00045,3.3466314226307525e-05,0.2445639620233588
0.9,-46.0,0.0,4.0,0.47,0.1628664244286465,113400.0,0.00045,5.303871332618115e-05,0.4800382380846077
0.9,-42.0,0.0,4.0,0.47,0.1759123840239013,113300.0,0.0004399999999999,5.578394379654808e-05,0.5099704218415492
0.9,-38.0,0.0,4.0,0.47,0.1876944195354958,113400.0,0.0004399999999999,5.815161009830802e-05,0.5371989184605728
0.9,-34.0,0.0,4.0,0.47,0.1998006095259815,113400.0,0.00045,6.05806689110526e-05,0.5638963643360574
